date,amount,month,quarter,year,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,pct_change
2020-07-31,2799.0,7,3,2020,3986.88,5070.2,2184.0,3747.026666666667,1457.9728482154032,3794.6633333333334,2721.733326552524,-0.2979472670358777
2020-08-31,5082.42,8,3,2020,2799.0,3986.88,5070.2,3952.026666666667,1136.0010678398744,3927.9966666666664,2634.366470494693,0.8157984994640943
2020-09-30,2776.9,9,3,2020,5082.42,2799.0,3986.88,3956.1,1142.0211383332633,3361.066666666667,1633.7994132777342,-0.453626422058783
2020-10-31,8524.0,10,4,2020,2776.9,5082.42,2799.0,3552.773333333333,1324.7589577479127,3649.8999999999996,1250.4354266254622,2.0696099967589756
2020-11-30,3517.0,11,4,2020,8524.0,2776.9,5082.42,5461.106666666667,2892.20370930772,4706.566666666667,2131.978663783169,-0.587400281557954
2020-12-31,2344.01,12,4,2020,3517.0,8524.0,2776.9,4939.3,3126.4184892621147,4447.700000000001,2172.898205659897,-0.33352004549331815
2021-01-31,2501.32,1,1,2021,2344.01,3517.0,8524.0,4795.003333333333,3282.2307185865734,4173.888333333333,2339.6902629058973,0.06711148843221659
2021-02-28,794.8399999999999,2,1,2021,2501.32,2344.01,3517.0,2787.443333333333,636.6916886793258,4124.275000000001,2377.5260518088967,-0.6822317816193051
2021-03-31,21748.0,3,1,2021,794.8399999999999,2501.32,2344.01,1880.0566666666666,943.1108202291667,3409.6783333333333,2659.562213496174,26.361481556036438
2021-04-30,8266.0,4,2,2021,21748.0,794.8399999999999,2501.32,8348.053333333333,11636.01935799925,6571.528333333333,7890.199191823782,-0.6199190730182086
2021-05-31,3163.0,5,2,2021,8266.0,21748.0,794.8399999999999,10269.613333333333,10619.302156381713,6528.528333333333,7878.124282508918,-0.6173481732397774
2021-06-30,10593.0,6,2,2021,3163.0,8266.0,21748.0,11059.0,9602.145229062096,6469.528333333333,7906.463218320608,2.349035725576984
2021-07-31,1005.0,7,3,2021,10593.0,3163.0,8266.0,7340.666666666667,3800.4481753252867,7844.360000000001,7761.481140998798,-0.9051260266213537
2021-08-31,958.0,8,3,2021,1005.0,10593.0,3163.0,4920.333333333333,5029.771499117361,7594.973333333332,7988.223257036991,-0.04676616915422882
2021-09-30,1500.0,9,3,2021,958.0,1005.0,10593.0,4185.333333333333,5549.251871498833,7622.166666666667,7960.674831109902,0.5657620041753653
2021-10-31,1779.0,10,4,2021,1500.0,958.0,1005.0,1154.3333333333333,300.2770942534516,4247.5,4158.683096846886,0.18599999999999994
2021-11-30,7461.0,11,4,2021,1779.0,1500.0,958.0,1412.3333333333333,417.4617746971529,3166.3333333333335,3725.7173090113365,3.1939291736930864
2021-12-31,7995.0,12,4,2021,7461.0,1779.0,1500.0,3580.0,3363.9383169136686,3882.6666666666665,4117.52832008071,0.07157217531162052
2022-01-31,4964.9,1,1,2022,7995.0,7461.0,1779.0,5745.0,3445.019013009938,3449.6666666666665,3332.5058239509012,-0.3789993746091308
2022-02-28,1951.0,2,1,2022,4964.9,7995.0,7461.0,6806.966666666667,1617.4659821255298,4109.650000000001,3137.9625324404374,-0.6070414308445286
2022-03-31,1660.0,3,1,2022,1951.0,4964.9,7995.0,4970.3,3022.0036184624205,4275.150000000001,2959.6139908778646,-0.14915427985648388
2022-04-30,3544.1,4,2,2022,1660.0,1951.0,4964.9,2858.633333333333,1829.8742315616355,4301.816666666667,2930.182936553052,1.1349999999999998
2022-05-31,2227.0,5,2,2022,3544.1,1660.0,1951.0,2385.0333333333333,1014.2716122091188,4596.0,2706.2936950745016,-0.37163172596710026
2022-06-30,1615.0,6,2,2022,2227.0,3544.1,1660.0,2477.0333333333333,966.6155923288663,3723.6666666666665,2427.273002912254,-0.2748091603053435
2022-07-31,12266.0,7,3,2022,1615.0,2227.0,3544.1,2462.0333333333333,985.7926776626438,2660.3333333333335,1332.395673464409,6.595046439628483
2022-08-31,4025.0,8,3,2022,12266.0,1615.0,2227.0,5369.333333333333,5980.522078659462,3877.183333333333,4170.1283483445295,-0.6718571661503343
2022-09-30,7696.780000000001,9,3,2022,4025.0,12266.0,1615.0,5968.666666666667,5585.188477870132,4222.849999999999,4063.1172041918758,0.9122434782608697
2022-10-31,514.0,10,4,2022,7696.780000000001,4025.0,12266.0,7995.926666666666,4128.636190818137,5228.9800000000005,4048.9705144888376,-0.9332188265742297
2022-11-30,2204.82,11,4,2022,514.0,7696.780000000001,4025.0,4078.5933333333337,3591.6898969890594,4723.963333333334,4468.395146365938,3.2895330739299613
2022-12-31,386.0,12,4,2022,2204.82,514.0,7696.780000000001,3471.866666666667,3755.281290893304,4720.266666666667,4470.882489489817,-0.8249290191489554
2023-01-31,5849.0,1,1,2023,386.0,2204.82,514.0,1034.94,1015.1652135489707,4515.433333333333,4665.520281257672,14.152849740932643
2023-02-28,675.0,2,1,2023,5849.0,386.0,2204.82,2813.273333333333,2781.8615788951956,3445.933333333333,2955.6566909617004,-0.8845956573773295
2023-03-31,975.0,3,1,2023,675.0,5849.0,386.0,2303.3333333333335,3074.0355126987824,2887.6,3135.34269389488,0.4444444444444444
2023-04-30,1054.0,4,2,2023,975.0,675.0,5849.0,2499.6666666666665,2904.4836603660324,1767.3033333333333,2104.8186525367623,0.08102564102564092
2023-05-31,12098.0,5,2,2023,1054.0,975.0,675.0,901.3333333333334,199.9508272882546,1857.3033333333333,2051.377108204796,10.478178368121442
2023-06-30,1788.27,6,2,2023,12098.0,1054.0,975.0,4709.0,6399.18361980651,3506.1666666666665,4679.302059780568,-0.8521846586212597
2023-07-31,6163.0,7,3,2023,1788.27,12098.0,1054.0,4980.09,6175.214181249096,3739.8783333333336,4524.761671161993,2.446347587333009
2023-08-31,954.0,8,3,2023,6163.0,1788.27,12098.0,6683.09,5174.505133276027,3792.2116666666666,4555.744344101924,-0.8452052571799449
2023-09-30,2167.0,9,3,2023,954.0,6163.0,1788.27,2968.4233333333336,2797.854833195115,3838.7116666666666,4518.8382585368845,1.2714884696016773
2023-10-31,1440.6,10,4,2023,2167.0,954.0,6163.0,3094.6666666666665,2725.5906393538385,4037.3783333333336,4392.18535023474,-0.3352099676972774
2023-11-30,3766.0,11,4,2023,1440.6,2167.0,954.0,1520.5333333333335,610.4377554945784,4101.8116666666665,4342.217457937438,1.6141885325558798
2023-12-31,5287.27,12,4,2023,3766.0,1440.6,2167.0,2457.866666666667,1189.6738432584216,2713.145,1943.0714452510513,0.40394848645778025
2024-01-31,5774.9,1,1,2024,5287.27,3766.0,1440.6,3497.956666666667,1937.2926840395774,3296.311666666667,2126.3987768094375,0.09222717962199756
2024-02-29,2402.0,2,1,2024,5774.9,5287.27,3766.0,4942.723333333333,1047.8330528444294,3231.6283333333336,2025.2532342442198,-0.5840620616807217
2024-03-31,2049.0,3,1,2024,2402.0,5774.9,5287.27,4488.056666666666,1822.956408319539,3472.9616666666666,1769.7172087134913,-0.14696086594504576
2024-04-30,6598.82,4,2,2024,2049.0,2402.0,5774.9,3408.633333333333,2056.8339027090315,3453.295,1787.697137702582,2.2205075646656907
2024-05-31,1804.0,5,2,2024,6598.82,2049.0,2402.0,3683.273333333333,2531.0988767990216,4312.998333333334,1864.840621355258,-0.7266177892411068
2024-06-30,8366.0,6,2,2024,1804.0,6598.82,2049.0,3483.94,2700.345220670856,3985.9983333333334,2132.7186488275165,3.6374722838137474
2024-07-31,8868.0,7,3,2024,8366.0,1804.0,6598.82,5589.606666666667,3395.4152417831438,4499.12,2780.423987668067,0.06000478125747066
2024-08-31,4964.9,8,3,2024,8868.0,8366.0,1804.0,6346.0,3941.4875364511754,5014.636666666666,3302.0824035851465,-0.44013306269733876
2024-09-30,6306.0,9,3,2024,4964.9,8868.0,8366.0,7399.633333333334,2123.4278427423187,5441.786666666667,3052.887212110309,0.2701162158351629
2024-10-31,5083.0,10,4,2024,6306.0,4964.9,8868.0,6712.966666666667,1983.1197148264378,6151.286666666667,2561.8791333446334,-0.19394227719632096
2024-11-30,11063.0,11,4,2024,5083.0,6306.0,4964.9,5451.3,742.5435812125418,5898.650000000001,2583.5681556715285,1.176470588235294
2024-12-31,665.0,12,4,2024,11063.0,5083.0,6306.0,7484.0,3159.250385771911,7441.816666666667,2407.9158709694657,-0.9398897224984182
