date,residuals
2020-01-05,-694.9885348688512
2020-01-19,-359.988524512715
2020-01-26,-337.98851914846796
2020-02-02,-517.9885141120466
2020-02-09,3421.011493606584
2020-02-16,-480.98855737045983
2020-02-23,-110.98855020317183
2020-03-01,1645.0114514506863
2020-03-08,-789.9885730618944
2020-03-15,-628.0885612901474
2020-03-22,-929.9885519308984
2020-03-29,-567.9885380729892
2020-04-05,-439.9885296093004
2020-04-12,-809.9885230529603
2020-04-19,-589.9885109831907
2020-04-26,-619.9885021916768
2020-05-03,-26.98849295312823
2020-05-10,-669.9884925509683
2020-05-17,630.0115174326382
2020-05-24,1212.7115080447347
2020-05-31,-341.48851002607455
2020-06-07,797.8914950625009
2020-06-14,-384.988516827009
2020-06-21,-345.98851109023303
2020-06-28,-69.98850593460247
2020-07-05,340.0114951083075
2020-07-12,-699.9885099582586
2020-07-19,-969.988499527617
2020-07-26,-10.988485073661991
2020-08-02,94.01151509007923
2020-08-09,2454.4315136891987
2020-08-16,-915.9885228846811
2020-08-23,-529.9885092353884
2020-08-30,-794.9885013379442
2020-09-06,575.0115105083077
2020-09-13,-864.9884980600316
2020-09-20,-714.9884851706986
2020-09-27,-459.9884745165399
2020-10-04,1416.9115323378226
2020-10-11,4494.011511224196
2020-10-18,-829.9885557417947
2020-10-25,-909.9885433740014
2020-11-01,-139.9885298141155
2020-11-08,-659.9885277281238
2020-11-15,98.01148210647159
2020-11-22,-20.988519354013306
2020-11-29,0.011480958739980451
2020-12-06,-280.9885190414311
2020-12-13,-884.9885148543759
2020-12-20,215.02149833298063
2020-12-27,-699.9885048710894
2021-01-03,-919.9884944404479
2021-01-10,-839.988480731551
2021-01-17,-173.66846821474724
2021-01-24,10.011534373114614
2021-01-31,-489.9884657760689
2021-02-07,-939.9884584746718
2021-02-14,-535.1484444677524
2021-02-21,-814.988436493419
2021-02-28,-874.988424349145
2021-03-07,2449.0115886891986
2021-03-14,805.0115521960821
2021-03-21,15264.011540200476
2021-03-28,-769.9886872510212
2021-04-04,-75.98867577729573
2021-04-11,-499.9886746449762
2021-04-18,-264.9886671945643
2021-04-25,3044.0113367540744
2021-05-02,1213.011291394771
2021-05-09,319.0112733194942
2021-05-16,-624.9887314341443
2021-05-23,-944.9887221210864
2021-05-30,349.0112919603429
2021-06-06,-749.9887132403306
2021-06-13,-679.9887020646279
2021-06-20,3209.0113080679935
2021-06-27,4739.0112602499985
2021-07-04,-569.9888103667721
2021-07-11,-629.988801873277
2021-07-18,-884.9887924857123
2021-07-25,-944.9887792983517
2021-08-01,-754.9887652169216
2021-08-08,-819.9887539667124
2021-08-15,-849.9887417479277
2021-08-22,-689.9887290821085
2021-08-29,-641.9887188004752
2021-09-05,-954.9887092340979
2021-09-12,-429.9886950036572
2021-09-19,-319.98868859632637
2021-09-26,-789.9886838281234
2021-10-03,-954.9886720563746
2021-10-10,-944.9886578259345
2021-10-17,-814.9886437445062
2021-10-24,218.01136839977096
2021-10-31,-638.9886348488516
2021-11-07,2284.011374672821
2021-11-21,2858.0113406383994
2021-11-28,-650.9887019492883
2021-12-05,398.0113077511993
2021-12-12,4170.011301820368
2021-12-19,-54.98876031764189
2021-12-26,-647.9887594982455
2022-01-02,-784.9887498424605
2022-01-09,-111.98873814521664
2022-01-16,-678.9887364764544
2022-01-23,2695.9112736412662
2022-01-30,-934.9887665309423
2022-02-06,-845.9887525985239
2022-02-13,-289.9887399923091
2022-02-20,-614.9887356711401
2022-02-27,-257.9887265070938
2022-03-06,-879.9887226627623
2022-03-13,-899.9887095499084
2022-03-20,-189.98869613903162
2022-03-27,-854.9886933079795
2022-04-03,125.21131943234491
2022-04-10,-669.9886824334492
2022-04-17,-613.9886724498398
2022-04-24,1232.9113366993045
2022-05-01,-954.9886816725062
2022-05-08,210.011332557934
2022-05-15,-339.9886705714787
2022-05-22,-909.9886655052527
2022-05-29,-727.988651945365
2022-06-05,-424.98864109748865
2022-06-12,-909.9886347646644
2022-06-19,-824.9886212047771
2022-06-26,-289.98860891148865
2022-07-03,9702.011395409678
2022-07-10,-894.9887491615574
2022-07-17,-925.9887358251858
2022-07-24,-109.98872202687835
2022-07-31,-314.98872038791865
2022-08-07,-444.9887156942209
2022-08-14,-979.9887090633723
2022-08-21,-676.9886944604026
2022-08-28,305.01131562751505
2022-09-04,1192.0113110824923
2022-09-11,-644.9887066798605
2022-09-18,-46.98869706877974
2022-09-25,185.01130363140646
2022-10-02,3958.7913008745236
2022-10-09,-955.9887581160641
2022-10-16,-904.9887438707215
2022-10-23,-699.9887303853383
2022-10-30,-979.9887199546934
2022-11-06,-103.16870535172347
2022-11-13,-295.98870381438985
2022-11-20,-480.9886994038145
2022-11-27,-859.9886922365243
2022-12-04,-834.9886794216942
2022-12-11,-924.9886669793933
2022-12-18,-944.988653195988
2022-12-25,-878.9886391145598
2023-01-01,-934.9886260166084
2023-01-08,2010.011387915808
2023-01-15,-929.9886420356959
2023-01-22,1275.0113718222146
2023-01-29,-530.9886471769353
2023-02-05,-779.9886392645878
2023-02-12,-833.9886276418514
2023-02-19,-929.9886152144525
2023-02-26,-685.9886013565422
2023-03-05,-519.9885911345154
2023-03-12,-879.9885833860816
2023-03-19,-759.9885702732298
2023-03-26,-904.9885589485176
2023-04-02,-869.9885454631373
2023-04-09,-449.98853249929766
2023-04-16,-829.988525793946
2023-04-23,-929.9885134261532
2023-04-30,-725.9884995682445
2023-05-07,-831.9884887501728
2023-05-14,-949.9884763525782
2023-05-21,-799.9884621966468
2023-05-28,10710.01154972411
2023-06-04,-899.9886098674982
2023-06-11,370.0114035433771
2023-06-18,-854.9886019702225
2023-06-25,-806.7185892298995
2023-07-02,-939.9885772088558
2023-07-09,3949.0114367980655
2023-07-16,-455.9886220467904
2023-07-23,-399.9886152520304
2023-07-30,-909.9886092917355
2023-08-06,-318.9885957318486
2023-08-13,-894.9885909785481
2023-08-20,-979.9885776421788
2023-08-27,-901.988563039211
2023-09-03,-824.9885495985341
2023-09-10,-954.9885373052467
2023-09-17,833.0114769251915
2023-09-24,-810.9885354876468
2023-10-01,-934.9885234029759
2023-10-08,-589.4885094705612
2023-10-15,-853.4885006864979
2023-10-22,-909.9884879685281
2023-10-29,-189.98847440864301
2023-11-05,1540.6115284224056
2023-11-12,-580.9884945344949
2023-11-19,-899.9884858770916
2023-11-26,-379.9884724662181
2023-12-03,-839.9884668039487
2023-12-10,-834.9884542871451
2023-12-17,-886.7184418448476
2023-12-24,-899.9884286317131
2023-12-31,3949.0115847791594
2024-01-07,-764.9884740656986
2024-01-14,2849.911537333518
2024-01-21,-279.98850513347327
2024-01-28,-589.9885009613195
2024-02-04,-374.9884921698057
2024-02-11,-807.9884865820417
2024-02-18,-589.988474542075
2024-02-25,-429.98846575056166
2024-03-03,445.01154065676576
2024-03-10,-219.98846597442298
2024-03-17,-695.9884626963394
2024-03-24,-929.9884523253031
2024-03-31,-254.98843846739533
2024-04-07,-150.16843466777152
2024-04-14,4454.011567569913
2024-04-21,-879.9884988000317
2024-04-28,-784.9884856871812
2024-05-05,-274.9884739899412
2024-05-19,-719.9884698922937
2024-05-26,-729.9884591636294
2024-06-02,-201.98844828595372
2024-06-09,275.0115547239087
2024-06-16,1533.0115506259172
2024-06-23,3359.011527782265
2024-07-07,848.0114777290927
