date,actual,forecast
2024-07-14,188.0,989.988534907263
2024-07-21,5260.0,989.988534907263
2024-07-28,1350.0,989.988534907263
2024-08-04,831.0,989.988534907263
2024-08-11,299.0,989.988534907263
2024-08-18,291.0,989.988534907263
2024-08-25,3625.9,989.988534907263
2024-09-01,180.0,989.988534907263
2024-09-08,1114.0,989.988534907263
2024-09-15,260.0,989.988534907263
2024-09-22,4590.0,989.988534907263
2024-09-29,312.0,989.988534907263
2024-10-06,2369.0,989.988534907263
2024-10-13,1345.0,989.988534907263
2024-10-20,65.0,989.988534907263
2024-10-27,1205.0,989.988534907263
2024-11-03,179.0,989.988534907263
2024-11-17,4704.0,989.988534907263
2024-11-24,5889.0,989.988534907263
2024-12-01,390.0,989.988534907263
2024-12-08,45.0,989.988534907263
2024-12-15,220.0,989.988534907263
2024-12-22,70.0,989.988534907263
2024-12-29,330.0,989.988534907263
