date,amount,month,quarter,year,lag_1,lag_2,lag_3,rolling_mean_3,rolling_std_3,rolling_mean_6,rolling_std_6,pct_change
2020-07-31,2035.0,7,3,2020,3318.88,3407.5,1866.0,2864.126666666667,865.5379876893526,2489.7133333333336,874.5294759278652,-0.3868413440678783
2020-08-31,2773.0,8,3,2020,2035.0,3318.88,3407.5,2920.4600000000005,768.1099757196233,2519.7133333333336,851.177093363459,0.36265356265356274
2020-09-30,1746.9,9,3,2020,2773.0,2035.0,3318.88,2708.9600000000005,644.3312849769131,2469.0466666666666,819.8408700880109,-0.3700324558240172
2020-10-31,2154.0,10,4,2020,1746.9,2773.0,2035.0,2184.9666666666667,529.2332220612501,2524.5466666666666,741.6704229417987,0.233041387600893
2020-11-30,2543.0,11,4,2020,2154.0,1746.9,2773.0,2224.633333333333,516.6837556313653,2572.5466666666666,698.5946179771689,0.18059424326833806
2020-12-31,1815.01,12,4,2020,2543.0,2154.0,1746.9,2147.9666666666667,398.0842917440128,2428.4633333333336,569.0936823288998,-0.2862721195438459
2021-01-31,1705.99,1,1,2021,1815.01,2543.0,2154.0,2170.67,364.2811780753968,2177.818333333333,406.4194267215419,-0.06006578476151647
2021-02-28,794.8399999999999,2,1,2021,1705.99,1815.01,2543.0,2021.3333333333333,455.05320945284177,2122.983333333333,449.4590945866674,-0.5340887109537571
2021-03-31,3064.0,3,1,2021,794.8399999999999,1705.99,1815.01,1438.6133333333335,560.182486903447,1793.29,582.9792914332381,2.854863871974234
2021-04-30,3006.0,4,2,2021,3064.0,794.8399999999999,1705.99,1854.9433333333334,1141.8897048460203,2012.8066666666666,777.5282299098001,-0.018929503916449097
2021-05-31,1868.0,5,2,2021,3006.0,3064.0,794.8399999999999,2288.28,1293.6820610953832,2154.806666666667,879.5753727263325,-0.37857618097139056
2021-06-30,3030.02,6,2,2021,1868.0,3006.0,3064.0,2646.0,674.3915776461032,2042.3066666666666,863.0052933248247,0.622066381156317
2021-07-31,1030.0,7,3,2021,3030.02,1868.0,3006.0,2634.6733333333336,664.0671954955562,2244.8083333333334,938.2710680483901,-0.6600682503745849
2021-08-31,958.0,8,3,2021,1030.0,3030.02,1868.0,1976.006666666667,1004.3749698859149,2132.1433333333334,1049.860625295885,-0.06990291262135917
2021-09-30,1426.0,9,3,2021,958.0,1030.0,3030.02,1672.6733333333334,1176.0478222135919,2159.3366666666666,1009.6367822472924,0.4885177453027141
2021-10-31,1121.0,10,4,2021,1426.0,958.0,1030.0,1138.0,251.99999999999667,1886.3366666666668,934.7753826811374,-0.2138849929873773
2021-11-30,3404.0,11,4,2021,1121.0,1426.0,958.0,1168.3333333333333,237.56332489113655,1572.17,788.532199342551,2.0365744870651206
2021-12-31,2315.0,12,4,2021,3404.0,1121.0,1426.0,1983.6666666666667,1239.4621145211875,1828.17,1093.9638848700629,-0.3199177438307873
2022-01-31,1805.9,1,1,2022,2315.0,3404.0,1121.0,2280.0,1141.9023600991463,1709.0,968.6212882236279,-0.219913606911447
2022-02-28,1701.22,2,1,2022,1805.9,2315.0,3404.0,2508.2999999999997,816.3973113625501,1838.3166666666666,909.8513953754574,-0.057965557339830553
2022-03-31,1695.0,3,1,2022,1701.22,1805.9,2315.0,1940.7066666666667,328.3460067266429,1962.1866666666665,811.2857954301103,-0.0036561996684731923
2022-04-30,2298.1,4,2,2022,1695.0,1701.22,1805.9,1734.04,62.31024634840475,2007.0199999999998,782.6564528578295,0.35581120943952804
2022-05-31,1964.0,5,2,2022,2298.1,1695.0,1701.22,1898.1066666666666,346.4183484362983,2203.2033333333334,652.9202616450698,-0.14538096688568813
2022-06-30,1305.0,6,2,2022,1964.0,2298.1,1695.0,1985.7,302.1350194863208,1963.2033333333331,283.2772282882383,-0.33553971486761713
2022-07-31,1953.2,7,3,2022,1305.0,1964.0,2298.1,1855.7,505.3301594007616,1794.87,328.84160533606473,0.4967049808429118
2022-08-31,1978.0,8,3,2022,1953.2,1305.0,1964.0,1740.7333333333336,377.39477120560673,1819.42,335.2654232097312,0.012697112430882562
2022-09-30,3188.0,9,3,2022,1978.0,1953.2,1305.0,1745.4000000000003,381.5991090136335,1865.5500000000002,334.7903926339585,0.6117290192113245
2022-10-31,593.0,10,4,2022,3188.0,1978.0,1953.2,2373.066666666667,705.8618939518793,2114.383333333333,617.851368588487,-0.8139899623588457
2022-11-30,1958.0,11,4,2022,593.0,3188.0,1978.0,1919.666666666667,1298.4830893520843,1830.2,860.813103989478,2.30185497470489
2022-12-31,386.0,12,4,2022,1958.0,593.0,3188.0,1913.0000000000002,1298.0851281791959,1829.2,860.6300482785853,-0.8028600612870276
2023-01-31,2648.0,1,1,2023,386.0,1958.0,593.0,979.0000000000003,854.1328936412623,1676.0333333333335,1036.4073362663287,5.860103626943006
2023-02-28,715.0,2,1,2023,2648.0,386.0,1958.0,1664.0000000000002,1159.3049641919067,1791.8333333333333,1109.7874421107254,-0.7299848942598187
2023-03-31,905.0,3,1,2023,715.0,2648.0,386.0,1249.666666666667,1222.113879036373,1581.3333333333333,1184.667998498595,0.26573426573426584
2023-04-30,954.0,4,2,2023,905.0,715.0,2648.0,1422.666666666667,1065.4136911703974,1200.8333333333333,897.1687503846016,0.05414364640883984
2023-05-31,1053.0,5,2,2023,954.0,905.0,715.0,858.0000000000003,126.24183141889033,1261.0,859.5701251206912,0.10377358490566047
2023-06-30,1308.27,6,2,2023,1053.0,954.0,905.0,970.666666666667,75.39451792623433,1110.1666666666667,789.3357756155916,0.24242165242165248
2023-07-31,1854.0,7,3,2023,1308.27,1053.0,954.0,1105.0900000000004,182.78904316177275,1263.8783333333333,705.4528678917305,0.4171386640372401
2023-08-31,663.0,8,3,2023,1854.0,1308.27,1053.0,1405.0900000000001,409.183130517373,1131.545,403.90515489406783,-0.6423948220064725
2023-09-30,907.0,9,3,2023,663.0,1854.0,1308.27,1275.0900000000004,596.1928666966731,1122.8783333333333,415.03515130247416,0.3680241327300151
2023-10-31,1030.6,10,4,2023,907.0,663.0,1854.0,1141.3333333333337,629.1298223207432,1123.2116666666668,414.82591627894664,0.13627342888643867
2023-11-30,1839.0,11,4,2023,1030.6,907.0,663.0,866.8666666666669,187.05735305870454,1135.9783333333332,409.7240803475769,0.7843974383854067
2023-12-31,1068.27,12,4,2023,1839.0,1030.6,907.0,1258.866666666667,506.19685235423015,1266.9783333333332,494.7235935516593,-0.4191027732463295
2024-01-31,2365.12,1,1,2024,1068.27,1839.0,1030.6,1312.6233333333337,456.2445107980265,1226.9783333333335,500.38728402774933,1.2139721231523866
2024-02-29,1732.0,2,1,2024,2365.12,1068.27,1839.0,1757.4633333333338,652.2585006217489,1312.165,649.7086799404796,-0.267690434312001
2024-03-31,1730.0,3,1,2024,1732.0,2365.12,1068.27,1721.796666666667,648.4852054082128,1490.3316666666667,578.7906197034182,-0.0011547344110854896
2024-04-30,1918.0,4,2,2024,1730.0,1732.0,2365.12,1942.3733333333337,366.1107184081516,1627.4983333333332,505.8200900089543,0.10867052023121393
2024-05-31,1484.0,5,2,2024,1918.0,1730.0,1732.0,1793.3333333333337,107.96913139102432,1775.3983333333333,418.5993204206933,-0.22627737226277367
2024-06-30,3651.0,6,2,2024,1484.0,1918.0,1730.0,1710.666666666667,217.6449708431874,1716.2316666666666,432.66398169557215,1.460242587601078
2024-07-31,3189.0,7,3,2024,3651.0,1484.0,1918.0,2351.0000000000005,1146.5552755973004,2146.6866666666665,793.4375520900593,-0.12654067378800327
2024-08-31,1909.9,8,3,2024,3189.0,3651.0,1484.0,2774.6666666666665,1141.370375177723,2284.0,902.584068106677,-0.40109752273439947
2024-09-30,2706.0,9,3,2024,1909.9,3189.0,3651.0,2916.6333333333337,901.9395785380175,2313.65,883.5453666903576,0.4168281061835697
2024-10-31,2128.0,10,4,2024,2706.0,1909.9,3189.0,2601.6333333333337,645.9051813798491,2476.316666666667,843.5390457273835,-0.21359940872135996
2024-11-30,3500.02,11,4,2024,2128.0,2706.0,1909.9,2247.966666666667,411.38522498181027,2511.316666666667,819.7618688781913,0.6447462406015037
2024-12-31,690.0,12,4,2024,3500.02,2128.0,2706.0,2778.0066666666667,688.8384717285585,2847.32,721.7773778666088,-0.8028582693813178
