date,residuals
2020-01-31,-3.8652321091685735
2020-02-29,1218.1347678908314
2020-03-31,-444.9652321091685
2020-04-30,7.1347678908314265
2020-05-31,1548.6347678908314
2020-06-30,1460.0147678908315
2020-07-31,176.13476789083143
2020-08-31,914.1347678908314
2020-09-30,-111.96523210916848
2020-10-31,295.1347678908314
2020-11-30,684.1347678908314
2020-12-31,-43.85523210916858
2021-01-31,-152.87523210916856
2021-02-28,-1064.0252321091687
2021-03-31,1205.1347678908314
2021-04-30,1147.1347678908314
2021-05-31,9.134767890831426
2021-06-30,1171.1547678908314
2021-07-31,-828.8652321091686
2021-08-31,-900.8652321091686
2021-09-30,-432.8652321091686
2021-10-31,-737.8652321091686
2021-11-30,1545.1347678908314
2021-12-31,456.1347678908314
2022-01-31,-52.96523210916848
2022-02-28,-157.64523210916855
2022-03-31,-163.86523210916857
2022-04-30,439.23476789083134
2022-05-31,105.13476789083143
2022-06-30,-553.8652321091686
2022-07-31,94.33476789083147
2022-08-31,119.13476789083143
2022-09-30,1329.1347678908314
2022-10-31,-1265.8652321091686
2022-11-30,99.13476789083143
2022-12-31,-1472.8652321091686
2023-01-31,789.1347678908314
2023-02-28,-1143.8652321091686
2023-03-31,-953.8652321091686
2023-04-30,-904.8652321091686
2023-05-31,-805.8652321091686
2023-06-30,-550.5952321091686
2023-07-31,-4.8652321091685735
2023-08-31,-1195.8652321091686
2023-09-30,-951.8652321091686
2023-10-31,-828.2652321091687
2023-11-30,-19.865232109168574
2023-12-31,-790.5952321091686
2024-01-31,506.2547678908313
2024-02-29,-126.86523210916857
2024-03-31,-128.86523210916857
2024-04-30,59.13476789083143
2024-05-31,-374.8652321091686
2024-06-30,1792.1347678908314
